610,HUMANITARIAN CALÇADOS,3
611,THERMAS INTERNACIONAL DO ESPIRITONTO,1
612,HUMAITA CORRETORA DE SEGUROS,1
613,AVON INDUSTRIAL,1
614,LIDER MULTIMARCAS,1
615,CASA DEUDEO SEBASTIAO,1
616,EUROPA,2
617,COLÉGIO SESI DE CAMPINAS,1
618,MR BIT INFORMATICA,1
619,HEDGE FACTORING E FOMENTO MERCANTIL,1
620,SP EQUIPAMENTOS ELETRÔNICOS,1
621,ELETRONICALOM,1
622,DORITEL TELECOMUNICACOES,1
623,REDE MEGA,2
624,BENETIL MOVEIS,1
625,BENOLIEL,1
626,NACIONALUDE,2
627,HIDROFLEX,1
628,H2O PERFURACOES DE POCOS TUBULARES,1
629,RELOJOARIA E OTICA GUZZI,1
630,FAVORITA,5
631,MAQUIP,1
632,EDUARDO MOVEIS,1
633,FINOM,1
634,LOJA CHINA,1
635,KASINSKI,4
636,LADY MARIE,1
637,ZEZINHO VEICULOS,1
638,EDISON FLAVIO FERRO MACEDO ME,1
639,NOVAPARK SERVICOS DE LOCACAO,1
640,DALCAR VEÍCULOS,2
641,IMOBILIARIA ELDAI,1
642,LIMPA LAR DEDETIZACAO,1
643,CTIS INFORMATICA E SISTEMAS,1
644,SPEDICAR,1
645,PARKLAND CATARINENSE,1
646,IMPERTEC,2
647,AUTO ESCOLAO GONÇALO,1
648,BANCORBRAS,2
649,REALUDE,2
650,CIDRAO COM.DE PECAS E ACES.PARA AUTOM.E ESTOFARIA ME,1
651,ESMALTEC,11
652,GIOVANNA CALÇADOS,1
653,SETAP,1
654,REAL & DADOS,1
655,SUPERMERCADOS COMPER,10
656,MADEREIRA LUCIMAR,1
657,PONTE AEREA,1
658,SCALA MATERIAIS DE CONSTRUCAO,1
659,EKIPCAR SOM E ACESSORIOS,1
660,LOJAS MEGA,2
661,CIRCULO DAUDE ASSESSORIA E REPRESENTACOES,1
662,POLITECNICA REFRIGERAÇÃO,1
663,SOS INFORMATICA,2
664,D´ANGELO,1
665,CACS,1
666,COMPANY TOUR,1
667,ASA NORTE TAPECARIA E DECORACOES,1
668,NORDTECH,2
669,COLEGIO LICEU,1
670,AMARAL & KOHAGURA,1
671,TECNOIMPORTS TECNOLOGIA,1
672,POLIMPORT,1
673,NKS,8
674,CLÍNICA SÃO MARCELO,1
675,ESTOFADOS GLOBO,1
676,MERCADÃO POPULAR,1
677,VIDRO VALLE,1
678,KUSMANN & KUSMANN,1
679,SO COLCHOES,2
680,OSNILDO VEICULOS,1
681,ED PORTAS COMERCIO DE ESQUADRIAS DE MADEIRA,1
682,ILHA AZUL SEGURADORA,1
683,ADMINISTRADORA DE CONSORCIOGA S/C,3
684,CERÂMICA NOSSA SENHORA DA GUIA,1
685,EMPENHO,1
686,TORREZANE COMERCIAL DE MOVEIS,1
687,ACADEMIA PRODÍGIO,1
688,JONAS F. GONÇALVES,1
689,READER´S DIGEST,4
690,TRIALMOTO,1
691,POSTO PONTA GROSSA,1
692,ASPBRAS - FILIAL (MACAPÁ),2
693,CLINIBEL,1
694,ORBITA II,1
695,AMÉRICA EDITORA DE CATÁLOGOS,2
696,AUTOFOX EQUIPAMENTO AUTOMOTIVO/LOBO'S SOM,1
697,ORTOLITE,3
698,MICRO XIQUE,1
699,MENDES CALÇADOS,1
700,LEXMARK,1
701,J.L ELETRONICA,1
702,PAMPILI,1
703,COLCHÕES ULTRA FLEX,1
704,DELAVAL,1
705,CENTRO CLINICO GAUCHO,1
706,BAZAR PACLACAIO,1
707,STAR CELL CELULARES,1
708,RODÃO BICICLETAS,1
709,VENTISOL - CORATEL ASSISTENCIA TECNICA,1
710,SUBMARINO,15
711,CINEMARK BRASIL,6
712,TERMOSUL,1
713,AUTO ELÉTRICA 3 AMIGOS,1
714,CENTRO INTEGRADO MILTON PONGITORY,1
715,BRACCON,1
716,MOVEIS JOSEP,1
717,INFO SERVICE,1
718,FMC,1
719,SISTEC INFORMÁTICA,1
720,ESTACIONAMENTO ESTACENTERNTA CATARINA- EP,1
721,POSTO TEXACO,1
722,REAL MOVEIS E ELETRODOMESTICOS,1
723,IMOBILIARIA TEBAR,1
724,LOJAS DENY,2
725,HIPER JOIAS,1
726,MÓVEIS ESTRELA,2
727,TOQUE DA CASA,1
728,TOPCEL,5
729,GENTE BONITA,1
730,MICHELINE,1
731,BANCO SEMEAR,2
732,QUALITY LAVANDERIA,2
733,COMPUTER STORE,3
734,ACADEMIA ACQUANA,1
735,ESCOLINHA PEQUENO PASSOS,1
736,LG,6
737,CASPEBE,2
738,COMÉRCIO AMORIM,1
739,MAQTRON,1
740,MCE MEDEIROS COMERCIAL,1
741,COMMEMORE BUFFET,1
742,RENOVA ELETRO,1
743,LENOXX SOUND,3
744,PANAVIDEO,1
745,FACE MÓVEIS,1
746,PARK AQUATICO INTERNACIONAL DE PERNAMBUCO,1
